Fecha,valor,PIB,IPC,SMMLV
31/01/16,"900960927,11","0,0","0,06","0,045"
29/02/16,"931469725,82","0,0","0,06","0,045"
31/03/16,"977073128,14","0,0","0,06","0,045"
30/04/16,"1031097768,14","0,0","0,06","0,045"
31/05/16,"755364451,87","0,0","0,06","0,045"
30/06/16,"706737246,17","0,0","0,06","0,045"
31/07/16,"718670902,43","0,0","0,06","0,045"
31/08/16,"729032038,03","0,0","0,06","0,045"
30/09/16,"721180814,96","0,0","0,06","0,045"
31/10/16,"709746778,9","0,0","0,06","0,045"
30/11/16,"557037202,26","0,0","0,06","0,045"
31/12/16,"464596670,2","0,0","0,00","0,045"
31/01/17,"477433275,94","0,0","0,01","0,07"
28/02/17,"508864940,49","0,0","0,02","0,07"
31/03/17,"524073608,48","0,0","0,03","0,07"
30/04/17,"549109198,46","0,0","0,03","0,07"
31/05/17,"601877614,01","0,0","0,04","0,07"
30/06/17,"443590670,4","0,0","0,04","0,07"
31/07/17,"486016004,38","0,0","0,04","0,07"
31/08/17,"508787598,36","0,0","0,04","0,07"
30/09/17,"499555884,58","0,0","0,04","0,07"
31/10/17,"510073191,28","0,0","0,04","0,07"
30/11/17,"503888508,12","0,0","0,04","0,07"
31/12/17,"7660735153,84","0,0","0,00","0,07"
31/01/18,"7729562616,85","0,0","0,01","0,07"
28/02/18,"2768281228,45","0,0","0,02","0,07"
31/03/18,"1936582645,29","0,0","0,02","0,07"
30/04/18,"1960249971,85","0,0","0,03","0,07"
31/05/18,"1923873509,1","0,0","0,03","0,07"
30/06/18,"1902446963,56","0,0","0,03","0,07"
31/07/18,"735660616,12","0,0","0,03","0,07"
31/08/18,"742246310,17","0,0","0,03","0,07"
30/09/18,"778881263,68","0,0","0,03","0,07"
31/10/18,"731308351,93","0,0","0,03","0,07"
30/11/18,"756793741,76","0,0","0,03","0,07"
31/12/18,"702107835,75","0,0","0,00","0,07"
31/01/19,"743487262,77","0,0","0,01","0,059"
28/02/19,"775402891,94","0,0","0,02","0,059"
31/03/19,"832274282,6","0,0","0,02","0,059"
30/04/19,"817158631,22","0,0","0,02","0,059"
31/05/19,"886580033,85","0,0","0,03","0,059"
30/06/19,"1020183849,86","0,0","0,03","0,059"
31/07/19,"1105073467,37","0,0","0,03","0,059"
31/08/19,"1187850551,57","0,0","0,03","0,059"
30/09/19,"1225143885,67","0,0","0,04","0,059"
31/10/19,"1296347508,29","0,0","0,04","0,059"
30/11/19,"1362008145,51","0,0","0,04","0,059"
31/12/19,"1197511652,49","0,0","0,00","0,059"
31/01/20,"1361196809,33","0,0","0,01","0,06"
29/02/20,"1385392560,49","0,0","0,01","0,06"
31/03/20,"1454803349,26","0,0","0,02","0,06"
30/04/20,"1478041936,25","-0,1","0,02","0,06"
31/05/20,"1525680295,46","-0,1","0,02","0,06"
