TIPO_ENTIDAD,NOMBRE_TIPO_ENTIDAD,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,FECHA_CORTE,CUENTA,NOMBRE_CUENTA,MONEDA,NOMBRE MONEDA,SIGNO_VALOR,VALOR
5,SOCIEDADES FIDUCIARIAS,18,FIDUCIARIA POPULAR S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,2146966317.22
5,SOCIEDADES FIDUCIARIAS,3,BBVA ASSET MANAGEMENT S.A. S.F.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,325244917
5,SOCIEDADES FIDUCIARIAS,18,FIDUCIARIA POPULAR S.A.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,657859263.04
5,SOCIEDADES FIDUCIARIAS,22,FIDUCIARIA BOGOTA S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,8763784566.49
5,SOCIEDADES FIDUCIARIAS,24,CITITRUST COLOMBIA S.A. S.F.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,18418610125.59
5,SOCIEDADES FIDUCIARIAS,6,FIDUCIARIA COLMENA S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,808193104.34
5,SOCIEDADES FIDUCIARIAS,59,CREDICORP CAPITAL FIDUCIARIA S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,1744824304.32
5,SOCIEDADES FIDUCIARIAS,23,ITAÚ FIDUCIARIA COLOMBIA S.A. S.F.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,2890741243.3
5,SOCIEDADES FIDUCIARIAS,3,BBVA ASSET MANAGEMENT S.A. S.F.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,2495767287.04
5,SOCIEDADES FIDUCIARIAS,57,FIDUCIARIA DEL PAIS S.A,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,231337308.42
5,SOCIEDADES FIDUCIARIAS,6,FIDUCIARIA COLMENA S.A.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,74429507
5,SOCIEDADES FIDUCIARIAS,59,CREDICORP CAPITAL FIDUCIARIA S.A.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,69420323.76
5,SOCIEDADES FIDUCIARIAS,40,FIDUCOLDEX S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,1155125528.06
5,SOCIEDADES FIDUCIARIAS,15,FIDUCOR S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,111414186.36
5,SOCIEDADES FIDUCIARIAS,21,FIDUCIARIA DE OCCIDENTE S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,3229062680.55
5,SOCIEDADES FIDUCIARIAS,4,ITAÚ SECURITIES SERVICES,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,326669919.92
5,SOCIEDADES FIDUCIARIAS,33,ACCION FIDUCIARIA S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,5213185067.85
5,SOCIEDADES FIDUCIARIAS,24,CITITRUST COLOMBIA S.A. S.F.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,546251598.18
5,SOCIEDADES FIDUCIARIAS,20,FIDUCIARIA CORFICOLOMBIANA S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,4937937663.56
5,SOCIEDADES FIDUCIARIAS,25,FIDUCIARIA SCOTIABANK COLPATRIA S.A,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,715123826.14
5,SOCIEDADES FIDUCIARIAS,25,FIDUCIARIA SCOTIABANK COLPATRIA S.A,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,3387994565.43
5,SOCIEDADES FIDUCIARIAS,57,FIDUCIARIA DEL PAIS S.A,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,42842823.03
5,SOCIEDADES FIDUCIARIAS,42,FIDUCIARIA DAVIVIENDA S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,2151499798.8
5,SOCIEDADES FIDUCIARIAS,38,FIDUCIARIA CENTRAL S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,2389528645.89
5,SOCIEDADES FIDUCIARIAS,34,SERVITRUST GNB SUDAMERIS S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,1082864192.08
5,SOCIEDADES FIDUCIARIAS,39,SF DE DESARROLLO AGROPECUARIO S.A.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,1523994545.12
5,SOCIEDADES FIDUCIARIAS,31,FIDUCIARIA BANCOLOMBIA S.A. S.F.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,608929748.72
5,SOCIEDADES FIDUCIARIAS,31,FIDUCIARIA BANCOLOMBIA S.A. S.F.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,12172192114
5,SOCIEDADES FIDUCIARIAS,16,ALIANZA FIDUCIARIA S.A.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,1303109052.13
5,SOCIEDADES FIDUCIARIAS,40,FIDUCOLDEX S.A.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,46087865
5,SOCIEDADES FIDUCIARIAS,4,ITAÚ SECURITIES SERVICES,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,1679643460.8
5,SOCIEDADES FIDUCIARIAS,58,FIDUCIARIA SURA S.A.,31/01/2016,161030,NEGOCIOS FIDUCIARIOS,0,Total,+,384043500
5,SOCIEDADES FIDUCIARIAS,38,FIDUCIARIA CENTRAL S.A.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,1596916988.15
5,SOCIEDADES FIDUCIARIAS,58,FIDUCIARIA SURA S.A.,31/01/2016,169400,DETERIORO (PROVISION) CUENTAS POR COBRAR COMERCIALES,0,Total,+,10450000
