FECHA_CORTE,Ingresos,Deterioro
31/01/2016,12556235614,456212289
29/02/2016,-607432268,-29771890
31/03/2016,175251688,80851342
30/04/2016,144306843,-374670177
31/05/2016,10616804942,355565653
30/06/2016,-11483041844,-214758468
31/07/2016,1270583576,-127000007
31/08/2016,-1358156287,46996537
30/09/2016,5531095704,1556445356
31/10/2016,-5243911403,-1684599164
30/11/2016,1227859555,20469605
31/12/2016,6003818,6531302
31/01/2017,-238098175,23636494
28/02/2017,-24484850,-57732981
31/03/2017,839746406,1437723
30/04/2017,1851730541,-727727
31/05/2017,-1122828482,8777156
30/06/2017,2263377215,2822811
31/07/2017,-1545860761,27799057
31/08/2017,-13776659933,29624678
30/09/2017,13576365820,4358292049
31/10/2017,-631144092,-4413224986
30/11/2017,859547043,-28374855
31/12/2017,1623350378,-19925630
31/01/2018,-1590167449,29643519
28/02/2018,118879368,-29655674
31/03/2018,3126264548,7382806
30/04/2018,-1213718588,4687493
31/05/2018,-657342743,-9141315
30/06/2018,22223458185,2066670079
31/07/2018,-21948366942,-1967818982
31/08/2018,8341769,-22505791
30/09/2018,1026978610,-13794657
31/10/2018,19276490780,-16192124
30/11/2018,-13841825467,19693234
31/12/2018,-3582726081,47651732
31/01/2019,-1193060370,30335111
28/02/2019,-672752975,505515630
31/03/2019,2843848530,-80948540
30/04/2019,-537638643,3166137946
31/05/2019,6142686431,-3692998335
30/06/2019,-4861155148,84779403
31/07/2019,905042836,36964675
31/08/2019,-1638857081,-52812639
30/09/2019,196221880,4095977477
31/10/2019,629608639,-4063636148
30/11/2019,6564859601,-35183288
31/12/2019,-6742586749,6321987
31/01/2020,555307537,-75414385
29/02/2020,657155437,14533490
31/03/2020,-2586311209,-8754871
30/04/2020,447034356,19676806
31/05/2020,1904795739,49840769
30/06/2020,-953000592,-59312458
31/07/2020,-514130774,-10933134
31/08/2020,1125161990,10696676
30/09/2020,-98756822,-13401327
31/10/2020,1316710027,22045265
30/11/2020,-1154237676,41826620
31/12/2020,-74672964,-49678070
31/01/2021,3357304027,23724953
28/02/2021,-1786420161,-3224928
31/03/2021,-1641945983,-6068285
30/04/2021,115603547,2277217
31/05/2021,669016113,19212105
30/06/2021,933363699,-16681173
31/07/2021,478899560,-41375194
31/08/2021,20114523,83885763
30/09/2021,-252823235,1954765486
31/10/2021,9415900539,-1952453651
30/11/2021,-10069533777,-14271527
31/12/2021,498528255,1501180353
31/01/2022,4003165723,-1567819838
28/02/2022,-3081200068,6162837
31/03/2022,-135494012,7049842016
30/04/2022,202689142,-7056716627
31/05/2022,-452326184,-1232975
30/06/2022,-96263621,17470634
31/07/2022,1033081883,7678808952
31/08/2022,40627905299,-7672411857
30/09/2022,-39894717215,35378716
31/10/2022,-1536623528,-37792738
30/11/2022,-315825981,14034032
31/12/2022,421676048,-28036802
31/01/2023,23954690431,-10575372
28/02/2023,-4304512930,4898997
31/03/2023,-15616090305,4063366
30/04/2023,1126001219,102865301
31/05/2023,-2145440393,-75828046
30/06/2023,-970541855,2973937539
31/07/2023,1602800213,-2901902612
31/08/2023,2165647767,-80761180
30/09/2023,-2375585674,46186436
31/10/2023,-1732053863,-246641
30/11/2023,-1723597999,-34907406
31/12/2023,2170758743,-10716352
31/01/2024,5922818305,18659072
29/02/2024,-3950347411,7855077
31/03/2024,5224615414,-8232205
30/04/2024,-6385695230,11334336301
31/05/2024,-4068721288,-11354833013
30/06/2024,6631713327,9046771
31/07/2024,6363726797,18268416
31/08/2024,-5422499359,65168329
